id,Year,Month,Day,Hour,Minute,Temperature.daily.mean..2.m.above.gnd.,Relative.Humidity.daily.mean..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.mean..MSL.,Total.Precipitation.daily.sum..sfc.,Snowfall.amount.raw.daily.sum..sfc.,Total.Cloud.Cover.daily.mean..sfc.,High.Cloud.Cover.daily.mean..high.cld.lay.,Medium.Cloud.Cover.daily.mean..mid.cld.lay.,Low.Cloud.Cover.daily.mean..low.cld.lay.,Sunshine.Duration.daily.sum..sfc.,Shortwave.Radiation.daily.sum..sfc.,Wind.Speed.daily.mean..10.m.above.gnd.,Wind.Direction.daily.mean..10.m.above.gnd.,Wind.Speed.daily.mean..80.m.above.gnd.,Wind.Direction.daily.mean..80.m.above.gnd.,Wind.Speed.daily.mean..900.mb.,Wind.Direction.daily.mean..900.mb.,Wind.Gust.daily.mean..sfc.,Temperature.daily.max..2.m.above.gnd.,Temperature.daily.min..2.m.above.gnd.,Relative.Humidity.daily.max..2.m.above.gnd.,Relative.Humidity.daily.min..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.max..MSL.,Mean.Sea.Level.Pressure.daily.min..MSL.,Total.Cloud.Cover.daily.max..sfc.,Total.Cloud.Cover.daily.min..sfc.,High.Cloud.Cover.daily.max..high.cld.lay.,High.Cloud.Cover.daily.min..high.cld.lay.,Medium.Cloud.Cover.daily.max..mid.cld.lay.,Medium.Cloud.Cover.daily.min..mid.cld.lay.,Low.Cloud.Cover.daily.max..low.cld.lay.,Low.Cloud.Cover.daily.min..low.cld.lay.,Wind.Speed.daily.max..10.m.above.gnd.,Wind.Speed.daily.min..10.m.above.gnd.,Wind.Speed.daily.max..80.m.above.gnd.,Wind.Speed.daily.min..80.m.above.gnd.,Wind.Speed.daily.max..900.mb.,Wind.Speed.daily.min..900.mb.,Wind.Gust.daily.max..sfc.,Wind.Gust.daily.min..sfc.,pluie.demain
756,2012,6,25,0,0,18,75.75,1017.54,9.3,0,59.9,22.12,39.38,55,555.33,5993.26,19.35,270.85,24.83,272.65,41.5,280.74,35.26,20.82,15.91,91,58,1020.1,1014.8,100,10,100,0,100,0,100,10,26.28,8.94,36.67,15.19,78.96,21.75,60.84,18.72,TRUE
760,2012,6,29,0,0,26.24,63.62,1009.86,1.1,0,18.3,21.92,15.38,3.83,901.42,7966.39,7.9,161.33,9.04,177.8,24.1,242.03,11.44,32.19,19.56,88,43,1011.4,1007.6,100,0,100,0,100,0,10,0,18.17,1.02,19.97,1.3,56.15,9.2,32.76,1.8,TRUE
764,2012,7,3,0,0,18.22,84.5,1017.68,0.7,0,69.5,10.67,15.67,69.5,348.63,4850.5,5.49,258.1,7.63,255.98,6.67,260.09,6.33,21.37,15.18,97,71,1019.4,1015.6,100,0,100,0,100,0,100,0,8.89,1.8,19.48,1.94,10.32,2.6,17.64,2.52,FALSE
766,2012,7,5,0,0,22.34,71.12,1009.97,0.5,0,40.9,38.38,34.88,11.29,479.53,6669.66,6.37,132.38,9.04,138.94,6.96,152.45,7.11,27.5,17.55,85,50,1011.6,1008.3,100,0,100,0,100,0,100,0,12.5,1.44,21.9,1.48,23.45,0.51,24.12,2.16,TRUE
768,2012,7,7,0,0,20.12,72.29,1013.09,0,0,18.92,0,13.71,18.92,891.01,7654,5.62,138.28,7.51,136.63,12.8,189.65,7.36,25.01,15.98,90,45,1014.9,1010.6,100,0,0,0,100,0,100,0,11.98,1.08,25.81,1.3,22.86,6.21,16.92,0.72,TRUE
772,2012,7,11,0,0,17.94,72.75,1016.17,0.3,0,51.5,0.67,28.83,48.21,652.34,7593.48,16.81,260.43,21.27,267.51,33.4,269.53,27.39,20.64,15.06,93,52,1017.5,1014.4,100,2,14,0,100,0,100,2,26.34,6.49,29.18,11.18,43.99,16.52,41.4,8.64,TRUE
774,2012,7,13,0,0,18.77,68.38,1011.26,2.8,0,77.96,25.58,76.33,50.5,303.19,6370.62,11.25,219.03,14.02,233.73,28.62,251.46,19.24,22.93,14.37,86,53,1016.6,1005.4,100,0,100,0,100,0,100,0,26.83,1.61,36.66,2.31,79.06,13.32,59.04,3.24,FALSE
776,2012,7,15,0,0,14.43,77.38,1017.98,3.4,0,67.67,1.92,43.17,66.33,257.37,3349.96,15.95,263.06,21.47,264.43,39.59,270.84,31.69,15.88,11.74,85,71,1024,1014.4,100,0,23,0,100,0,100,0,21.96,9.29,26.65,16.87,47.52,32.76,39.96,25.2,FALSE
778,2012,7,17,0,0,18.26,69.79,1025.99,0,0,26.54,0,0,26.54,787.21,7517.83,17.46,264.8,23.48,269.02,41.33,276.21,29.34,21.51,13.8,82,59,1026.7,1025,100,0,0,0,0,0,100,0,28.05,9.16,31.57,18.39,58.1,28.12,45.72,12.24,FALSE
780,2012,7,19,0,0,20.02,63.62,1013.43,0,0,42.57,41.58,39.08,2.38,360.12,6817.4,15.18,228.72,18.54,243.69,40.16,269.99,21.97,22.16,16.85,79,44,1015.1,1010.7,100,0,100,0,100,0,10,0,28.86,6.03,32.81,3.26,63.54,23.42,41.76,5.4,TRUE
782,2012,7,21,0,0,15.04,81.62,1020.2,2,0,73.46,3.12,3.58,72.88,207.15,5331.99,9.43,312.88,11.61,301.38,13.3,294.85,11.13,17.89,12.06,96,65,1023.8,1018.2,100,0,42,0,86,0,100,0,16.09,0.36,23.07,2.28,17.65,7.59,21.6,1.8,FALSE
784,2012,7,23,0,0,15.86,71.08,1023.03,0,0,25.05,1.25,0,25,676.49,7659.34,12.96,144.4,16.97,133.86,44.55,86.98,19.32,23.06,8.09,96,49,1026.3,1019.2,100,0,9,0,0,0,100,0,24.13,2.16,28.09,1.14,58.77,32.74,34.92,1.8,FALSE
788,2012,7,27,0,0,26.06,60.17,1012.26,1.7,0,1.25,0,1.25,0.83,904.43,7468.88,6.43,125.58,8.21,127.84,12.68,171.24,6.69,31.75,20.72,84,46,1015.4,1008.6,10,0,0,0,10,0,10,0,9.06,1.48,18.29,3.24,20,3.22,13.32,2.52,TRUE
792,2012,7,31,0,0,20.16,70.08,1018.56,0,0,32.1,6.67,1.5,29.88,698.25,6715.94,4.25,242.76,4.15,237.15,8.97,259.29,5.4,24.44,15.05,90,55,1020.1,1016.9,100,0,26,0,32,0,100,0,8.43,1.48,8.43,0.72,16.66,3.98,11.16,1.44,TRUE
794,2012,8,2,0,0,22.66,68.58,1014.78,2.4,0,60.29,19.46,51,28.42,302.73,6440.04,8.62,266.26,11.82,274.83,21.79,271.76,12.99,25.45,18.5,87,54,1016.1,1011.3,100,0,100,0,100,0,100,0,12.57,3.67,24.98,5.76,46.83,6.73,28.8,3.24,TRUE
796,2012,8,4,0,0,21.35,70.25,1014.18,0,0,57.23,39.54,56.79,11.12,440.43,6685.68,3.17,166.94,3.37,184.01,3.56,158.56,3.25,25.83,17,86,55,1016.6,1011.3,100,0,100,0,100,0,100,0,7.9,1.3,13.28,1.14,12.98,1.08,8.64,0.72,TRUE
798,2012,8,6,0,0,17.55,79.79,1015.36,4.4,0,73.92,7.42,57.04,52.46,233.05,3763.81,11.65,240.53,15.29,250.11,31.9,256.99,20.89,20.07,15.08,96,64,1020.7,1009.4,100,0,100,0,100,0,100,0,22.07,1.53,29.17,0.51,44.91,20.06,41.4,2.16,TRUE
800,2012,8,8,0,0,18.22,75.58,1023.65,0,0,30.14,2.04,0,29.54,588.7,6683.01,6.79,287.58,8.83,279.23,7.88,166.92,9.59,23.37,13.8,97,58,1025.1,1021.9,100,0,23,0,0,0,100,0,15.58,0,23.04,0.36,14.11,0.8,22.68,1.44,FALSE
802,2012,8,10,0,0,18.86,76.5,1022.47,0,0,25,1.25,0,24.75,600.07,6612.7,6.49,253.5,7.51,209.85,8.27,84.45,8.47,23.93,14.25,96,54,1024,1020.7,100,0,30,0,0,0,100,0,13.32,0.72,16.92,2.16,14.51,3.89,15.12,4.68,FALSE
804,2012,8,12,0,0,18.59,76.33,1013.83,0.1,0,25.57,29.54,17.5,3.96,695.58,6188.17,11.87,199.23,17.62,199.63,18.84,217.59,19.26,24.86,13.38,89,58,1015.4,1012.3,100,0,100,0,100,0,52,0,19,1.08,26.18,0.36,26.83,7.24,37.08,3.6,TRUE
806,2012,8,14,0,0,21.77,71.79,1013.2,0,0,45.26,14.58,42.88,0,478.27,6730.18,3.95,115.48,4.13,113.92,4.63,133.75,4.92,26.34,16.98,87,55,1014.2,1012.2,100,0,100,0,100,0,0,0,7.2,2.04,13.91,0.8,13.2,1.08,6.84,1.44,TRUE
808,2012,8,16,0,0,21.05,72.46,1018.17,7.2,0,59.22,39.42,50.29,42.75,515.5,6024.41,7.62,283.92,9.82,286.51,15.15,239.87,10.74,23.96,17.54,96,55,1020.1,1015,100,6.6,100,0,100,0,100,0,17.4,1.84,25.63,1.8,29.8,6.49,28.8,3.96,FALSE
810,2012,8,18,0,0,24.18,62.17,1018.9,0,0,0,0,0,0,909.25,6739.97,11.75,119.52,18.9,117.56,12.43,161.88,14.49,30.11,18.29,75,51,1019.7,1017.8,0,0,0,0,0,0,0,0,17.73,5.86,30.76,10.25,24.83,1.08,27.72,5.4,FALSE
812,2012,8,20,0,0,26.79,62.96,1019.15,1.5,0,14.82,17.46,13.08,0.42,774,6540.61,8.22,177.41,9.66,188.84,20.61,234.05,9.36,31.38,21.94,77,50,1020.7,1018.1,100,0,100,0,100,0,10,0,13.9,0.72,17.15,2.16,36.16,11.38,16.2,1.8,FALSE
814,2012,8,22,0,0,24.04,72,1016.66,1.4,0,26.25,0.42,10.33,19.21,597.64,5058.76,9.25,273.58,11.68,292.02,16.2,294.57,13.11,26.72,20.92,88,61,1018.5,1014.6,100,0,10,0,100,0,100,0,13.36,1.44,21.4,5.63,33.22,7.15,30.96,3.6,TRUE
816,2012,8,24,0,0,20.66,88.25,1009.39,12.1,0,79.8,45.67,79.58,26.17,0,2818.63,8.66,151.68,11.7,149.77,32.09,239.71,10.66,24.35,17.76,97,67,1010.4,1007.4,100,0,100,0,100,0,100,0,18.25,0.8,25.96,0,47.7,11.3,33.48,0.72,TRUE
818,2012,8,26,0,0,16.71,70.96,1018.29,0.4,0,14.88,0,8.42,14.04,744.45,6257.59,17.9,259.99,23.64,264.8,41.2,272.33,32.11,19.26,13.46,85,57,1022,1013.7,100,0,0,0,100,0,100,0,26.65,8.71,29.18,13.04,58.12,24.61,44.28,12.24,FALSE
820,2012,8,28,0,0,19.17,74.21,1017.98,0,0,51.67,47.46,48.58,8.5,207.44,4063.74,8.93,151.11,14.17,151.61,27.89,237.4,9.48,24.86,13.33,91,58,1019.4,1016.6,100,0,100,0,100,0,100,0,14.78,2.6,30.68,3.76,54.79,6.73,25.56,2.16,TRUE
822,2012,8,30,0,0,17.64,81.88,1019.05,1,0,94.38,71.88,93.79,77.5,0,1108.05,8.64,219.22,12.92,235.66,25.98,269.38,14.01,21.98,15.51,90,74,1020.4,1017.6,100,16,100,0,100,2,100,0,14.4,2.88,21.92,6.49,36.07,17.7,24.12,3.6,TRUE
826,2012,9,3,0,0,17.64,80.96,1020.7,0,0,45.48,29.17,5.12,43.83,295.22,4870.08,7.53,137.33,9.87,124.05,26.74,63.88,9.57,23.86,11.66,96,59,1022.8,1018.2,100,0,100,0,74,0,100,0,16.7,1.3,22.91,1.14,41.34,12.1,23.4,2.16,FALSE
832,2012,9,9,0,0,20.64,64.12,1016.57,0,0,0.5,0.29,0,0.42,770.59,5493.97,6.5,151.92,10.94,154.21,10.75,230.06,5.58,26.86,14.27,85,53,1018.6,1014.8,10,0,4,0,0,0,10,0,10.64,1.14,23.07,0.72,22.67,6.84,8.64,1.44,FALSE
834,2012,9,11,0,0,20.61,71.33,1015.62,1.5,0,80.54,57.92,80.04,38,207.36,3490.58,8.83,202.33,11.42,209.01,27.06,243.61,14.78,25.08,17.57,87,56,1016.5,1014.7,100,19,100,0,100,19,100,0,19.3,2.16,22.03,0.72,57.96,1.94,36.36,1.8,TRUE
836,2012,9,13,0,0,12.24,75.58,1016.53,0.1,0,50.33,1.96,0.38,50.33,430.58,5031.17,5.18,173.97,7.97,224.24,12.84,269.1,7.72,16.32,7.71,96,54,1018.8,1015.6,100,0,29,0,6,0,100,0,10.85,0.8,17.06,1.8,31.61,1.48,18.36,1.08,FALSE
838,2012,9,15,0,0,14.86,76.04,1017.7,0.1,0,49.42,0,0,49.42,528.21,4047.72,5.6,269.05,7.06,264.77,14.95,250.04,8.49,19.33,10.95,88,62,1019.2,1016.4,100,0,0,0,0,0,100,0,9.83,1.61,17.16,2.81,33.99,4.39,21.24,3.96,FALSE
842,2012,9,19,0,0,14.23,73.17,1018.44,12.2,0,77.93,7.46,15.46,77.58,261.51,4275.56,11.85,311.68,14.66,310.65,22.36,325.13,16.92,15.95,12.41,96,54,1022.2,1012.5,100,3.3,100,0,100,0,100,0,20.14,3.32,23.84,6.62,45.93,12.3,29.52,3.96,FALSE
844,2012,9,21,0,0,15.21,68.83,1017,0,0,29,33,24.42,12.92,713.05,4974.21,7.99,144.43,12.29,157.23,21.11,244.98,8.32,23.23,8,86,46,1021.9,1012,100,0,100,0,100,0,100,0,15.03,0.72,20.57,1.94,42.52,8.89,19.8,2.16,TRUE
846,2012,9,23,0,0,17.02,76.5,1012.45,0,0,54.22,41.46,28.5,22.58,370.56,4524.76,12.79,115.81,19.55,119.35,15.25,179.62,18.45,24.69,11.11,92,56,1018,1005.4,100,0,100,0,100,0,100,0,20.14,3.42,25.81,8.56,29.41,6.84,36.72,3.24,TRUE
848,2012,9,25,0,0,15.63,74.08,1002.94,5.6,0,61.29,52.67,49.29,50.92,131.23,2890.72,12.91,203.11,17.4,216.08,42.89,238.64,24.83,22.14,11.12,96,46,1006.5,1000.1,100,2.1,100,7,100,0,100,0,21.09,3.1,32.91,3.67,76.76,5.62,53.64,2.88,TRUE
850,2012,9,27,0,0,12.64,70.71,1011.88,1.2,0,41.04,0,26.25,25.54,393.19,3452.31,14.34,204.43,18.85,213.87,47.36,252.32,27.19,17.81,8.03,91,51,1018.6,1007.9,100,0,0,0,100,0,100,0,28.24,6.64,36.08,4.84,60.59,29.46,51.48,6.84,FALSE
852,2012,9,29,0,0,13.95,74.42,1017.13,0,0,74.61,68.58,72.83,49.79,0,2458.18,4.95,166.12,5.77,161.87,11.5,200.64,5.32,17.11,11.54,86,63,1018.9,1016,100,0.9,100,3,100,0,100,0,10.19,2.31,10.32,1.48,20.5,6.49,12.6,1.8,FALSE
854,2012,10,1,0,0,13.62,79.79,1018.47,0,0,56.51,11.58,0,54.33,184.01,2309.55,4.91,245.76,5.95,263.16,11.22,243.64,7.14,16.42,11.88,94,72,1019.4,1017.4,100,0,40,0,0,0,100,0,9.5,0.8,10.11,0.8,25.72,2.81,16.56,0.36,FALSE
856,2012,10,3,0,0,15.27,69.12,1017.35,0.1,0,45.02,30.33,19.75,25.12,472.34,3402.47,8.84,183.84,10.68,193.57,31.99,254.46,12.22,19.67,10.98,88,53,1019.1,1015.3,100,0,100,0,100,0,100,0,15.94,1.3,18.78,3.1,59,14.06,31.32,0.72,TRUE
858,2012,10,5,0,0,16.02,76,1017.53,0,0,23.65,13.08,0,20.92,600.96,4196.35,9.43,180.17,13.01,192.92,34.03,258.84,12.91,21.99,10.83,95,58,1019.4,1015.5,100,0,32,0,0,0,100,0,18.72,0.36,20.17,2.6,45.57,21.83,26.28,2.16,FALSE
860,2012,10,7,0,0,15.12,84.96,1017.67,8.5,0,99.08,20.29,51.71,99.08,10.21,1233.54,11.42,260.82,16.02,277.08,28.86,287.65,20.22,17.61,12.53,91,77,1022.3,1013.8,100,78,100,0,100,0,100,78,19.64,2.55,26.32,2.16,66.7,2.97,41.04,4.32,TRUE
862,2012,10,9,0,0,16.24,87.38,1012.62,13.3,0,95.17,14.04,59,94.54,54.89,1953.55,16.08,267.48,22.6,269.47,39.42,291.12,33.16,17.78,13.65,96,82,1015,1009.3,100,67,100,0,100,0,100,67,24.12,9.22,30.68,13.1,63.56,17.58,46.8,12.96,TRUE
864,2012,10,11,0,0,14.63,83.67,1010.25,0.2,0,88.05,31.58,39.08,56.67,48.84,2948.57,8.06,102.64,11.11,96.46,8.92,197.54,10.78,18.2,11.71,96,73,1014.5,1007,100,2.7,100,0,100,0,100,0,16.42,1.84,19.47,1.02,20.43,4.32,23.4,2.88,TRUE
866,2012,10,13,0,0,11.1,75.67,1013.89,0,0,63.27,45.08,58.96,16.92,173.62,3497.7,8.44,168.98,11.69,180.58,17.96,216.85,12.66,15.98,7.19,96,59,1019.5,1009.6,100,0,100,0,100,0,100,0,12.88,3.24,23.56,3.24,57.37,2.16,33.12,1.44,TRUE
868,2012,10,15,0,0,8.41,72.88,1009.15,0.2,0,65.84,22.88,44.92,39.62,239.06,3077.62,17.66,258.9,22.31,263.17,34.78,274.92,28.44,11.48,5.62,86,58,1014.7,1000.7,100,0,100,0,100,0,100,0,32.05,6.41,40.1,9.79,75.3,18.72,59.4,8.28,FALSE
870,2012,10,17,0,0,13.85,74.71,1012.42,0.1,0,54.91,47.08,37.29,29.83,376.89,3473.67,6.32,116.52,9.75,120.06,18.45,176.72,7.99,20.14,8.76,93,54,1013.5,1011.3,100,0,100,0,100,0,100,0,11.09,3.22,22.55,3.22,43.05,9.51,11.88,3.6,FALSE
872,2012,10,19,0,0,13.96,82.25,1014.69,0,0,2.23,5.92,1.29,0.58,642.01,3454.98,4.84,112.04,7.93,116.37,14.3,131.38,7.2,23.16,4.72,100,57,1016.2,1012.7,10.5,0,35,0,8,0,6,0,6.62,2.19,12.57,3.42,24.99,5.86,10.08,4.32,FALSE
876,2012,10,23,0,0,11.33,79.12,1021.24,0,0,18.92,0,0,18.92,569.07,3301.01,4.83,171.68,5.81,205.59,15.71,95.83,6.42,14.7,5.99,100,63,1022.8,1020.1,100,0,0,0,0,0,100,0,9.9,1.08,11.97,1.3,27.96,2.1,11.52,1.8,FALSE
878,2012,10,25,0,0,10.05,81.88,1014.37,0,0,1.95,4.42,0,0.62,616.36,3203.11,4.01,153.87,8.19,183.22,11.61,129.93,3.42,15.44,3.18,98,67,1016.8,1011.1,8,0,24,0,0,0,8,0,6.95,1.3,21.42,1.02,23.45,1.53,5.76,1.44,FALSE
880,2012,10,27,0,0,2.73,92.71,999.55,25.3,8.61,100,34.33,100,100,0,606.09,25.44,229.29,30.62,232.85,29.83,57.2,35.15,7.2,0.41,95,84,1007.6,993.7,100,100,100,0,100,100,100,100,36.71,4.69,43.58,5.86,63.34,2.9,48.24,6.48,FALSE
882,2012,10,29,0,0,1.68,76.5,1016.89,0,0,46.2,5.12,5.92,43,486.27,3147.04,7.08,216.17,7.17,192.72,10.36,153.41,7.66,5.76,-2.05,95,57,1019,1014.8,100,0,20,0,70,0,100,0,15.48,1.48,15.91,0.8,25.36,2.1,14.76,1.8,FALSE
884,2012,10,31,0,0,6.5,72.92,1002.08,0,0,41.48,44.75,40.79,4.17,336.86,2823.08,11.02,117.41,16.06,125.78,15.17,175.35,10.57,11.47,1.15,90,56,1006.9,996.3,100,0,100,0,100,0,100,0,18.58,4.38,26.18,5.94,29.17,2.9,20.88,4.68,TRUE
886,2012,11,2,0,0,9.51,72.62,1002.69,6,0,49.46,0,39.79,44.29,308.49,2091.5,25.45,239.83,34.59,242.08,68.76,247.8,54.88,13.4,5.38,86,59,1006.5,997.1,100,0,0,0,100,0,100,0,46.85,10.18,60.11,20.63,110.67,35.25,87.48,34.56,TRUE
890,2012,11,6,0,0,6.45,82.54,1018.43,7.9,0,70.46,0.58,48.67,66.83,137.23,1741.73,11.09,271.27,16.18,273.8,25.59,283.36,18.7,8.24,4.03,91,71,1025.5,1012.7,100,0,14,0,100,0,100,0,17.46,1.94,25.67,9.73,53.79,6.92,41.4,3.24,FALSE
892,2012,11,8,0,0,7.97,76,1023.61,0,0,62,39.62,61,5.21,43.4,2038.99,4.23,142.25,5.7,176.19,26.85,241.95,4.82,11.42,4.88,83,63,1027.5,1019.9,100,0,100,0,100,0,100,0,8.09,0.36,14.99,0,49.4,5.24,11.52,1.44,FALSE
896,2012,11,12,0,0,6.59,91.33,1025.43,0,0,86.06,0.88,2.25,83.75,112.1,1210.4,6.33,307.03,7.85,283.15,4.68,274.25,7.03,8.75,4.81,96,83,1029.2,1020.4,100,0,9,0,54,0,100,0,9.42,2.04,10.81,2.41,8.67,0.8,10.08,2.88,FALSE
898,2012,11,14,0,0,6.5,85.29,1026.24,0,0,25.68,0.71,0,25.62,416.12,2369.18,10.52,116.61,18.8,115.98,13.87,155.97,18.93,11.18,3.15,96,73,1028.9,1023.8,100,0,5,0,0,0,100,0,18.39,2.52,25.62,4.02,26.63,2.16,33.12,2.88,FALSE
900,2012,11,16,0,0,6.01,78.17,1019.3,0,0,25.28,0.92,0,25,558.55,2332.69,2.99,138.44,3.17,127.22,12.2,262,2.97,9.73,3.03,96,63,1021.2,1017.1,100,0,8,0,0,0,100,0,6.49,0.36,6.7,0,23.66,8.71,6.48,1.08,FALSE
902,2012,11,18,0,0,9,73.58,1013.24,0,0,78.26,45.88,46.04,63.12,53.23,1782.67,4.55,110.55,6.06,119.13,12.12,256.09,3.73,12.26,5.31,83,68,1015.6,1011.2,100,7.2,94,9,100,1,100,0,8.59,1.14,13.1,3.32,20.19,2.19,8.64,0.72,FALSE
904,2012,11,20,0,0,5.49,71.71,1018.76,0,0,0,0,0,0,548.79,2210.76,4.87,103.65,8.86,112.79,5.83,212.47,2.89,9.6,1.06,91,52,1020.3,1016.8,0,0,0,0,0,0,0,0,8.47,2.1,17.6,2.9,12.07,1.61,5.76,0.36,FALSE
906,2012,11,22,0,0,8.63,89.75,1022.58,0.8,0,88.17,63.04,63.5,88.17,39.94,1416.88,3.55,177.67,5.12,195.35,10.96,195.56,6.14,10.4,6.45,96,82,1024.2,1021,100,0,100,0,100,0,100,0,7.21,0.72,13.4,0,28.99,1.3,20.88,1.44,FALSE
910,2012,11,26,0,0,8.93,90.29,1010.74,9.9,0,91.53,40.33,83.67,91.25,0,419.19,14.42,139.13,22.85,142.67,31.1,221.36,16.47,10.41,7.51,95,81,1016.5,1006.9,100,9.6,100,0,100,0,100,3,20.81,7.92,31.32,12.56,59.43,11.92,30.96,7.2,TRUE
912,2012,11,28,0,0,5.35,94.17,999.52,12.5,0,100,72.88,96.62,100,0,497.51,16.68,258.72,22.71,202.95,33.25,42.71,29.41,6.49,4.09,96,90,1004.7,994.3,100,100,100,2,100,51,100,100,23.76,9.02,32.05,12.1,54.76,16.04,44.64,11.52,TRUE
914,2012,11,30,0,0,1.33,83.96,1007.53,0,0,60.83,0,0,60.83,223.4,1141.87,9.69,221.72,13.67,225.68,18.28,67,15.6,4.25,-0.73,96,62,1011.5,1003.9,100,0,0,0,0,0,100,0,15.63,5.01,23.67,5.19,36.37,6.03,28.8,5.76,FALSE
916,2012,12,2,0,0,0.24,79.96,1015.33,1.6,0.7,74.04,0,35.21,71.71,131.49,1708.8,29.05,247.39,34.97,253.68,44.22,285.08,37.97,2.91,-2.96,96,70,1017.8,1013.6,100,0,0,0,100,0,100,0,46.55,3.32,50.91,2.6,62.07,21.67,57.24,6.84,TRUE
918,2012,12,4,0,0,4.53,86.08,1004.69,4,0,91.71,33.75,82.25,82.71,104.3,1421.33,37.85,254.32,47.07,256.2,68.48,277.91,59.74,7.55,2.75,97,76,1007.8,1000.4,100,7,100,0,100,0,100,2,60.15,13.8,72.51,20.95,97.19,37.69,84.6,17.28,TRUE
920,2012,12,6,0,0,0.44,81.92,1016.2,1.7,0.14,82.39,7.54,27.54,71.62,75.37,837.49,13.09,258.69,15.78,266.81,22.21,312.03,18.66,1.78,-2.42,95,64,1021.1,1007.4,100,0.3,83,0,100,0,100,0,24.44,1.53,29.3,1.8,42.35,4.83,39.24,3.6,TRUE
922,2012,12,8,0,0,-1.43,88.42,1017.02,2.6,0.7,92.12,0,25.46,92.12,3.19,1723.04,15.11,293.72,17.57,294.9,13.98,250.3,20.43,1.81,-5.09,94,76,1028.7,1002.9,100,5,0,0,100,0,100,5,44.71,2.81,53.27,2.81,77.38,1.14,68.04,5.4,TRUE
926,2012,12,12,0,0,-3.29,83,1024.47,0,0,20.67,3,5.12,15.62,557.76,1821.83,14.17,142.87,17.47,121.2,17.66,116.01,15.22,-0.48,-5.84,95,67,1028.1,1020.1,100,0,17,0,22,0,100,0,27.75,2.19,31.69,1.44,28.52,1.14,33.12,3.24,TRUE
932,2012,12,18,0,0,5.52,85.12,1015.66,11.9,0,88.12,1.04,53.33,78.62,94.1,810.79,16.33,254.73,22.4,257.76,41.42,287.37,34.72,7.66,4.19,93,74,1021,1012.5,100,14,17,0,100,0,100,0,28.82,0.72,36.38,0.51,62.95,22.41,50.76,5.76,FALSE
934,2012,12,20,0,0,2.21,84.04,1016.88,6.4,0,99.88,78.54,75.96,87.42,0,511.75,16.32,120.08,22.43,125.22,22.89,214.49,20.32,4.03,-0.37,94,73,1022.6,1011.9,100,97,100,0,100,0,100,0,24.63,6.92,35.43,9.93,60.16,4.02,37.8,4.32,TRUE
936,2012,12,22,0,0,6.34,85.08,1018.55,5.7,0,96.67,59.62,52.12,88.33,0,987.9,7.7,210.2,11.94,212.97,35.75,245.16,17.55,9.84,4.72,96,66,1022,1013,100,20,100,0,100,0,100,0,15.84,2.19,22.87,1.8,78.13,14.49,55.08,2.52,TRUE
938,2012,12,24,0,0,10.08,64.83,1012.42,0,0,31.04,64.33,18.17,0,267.64,1574.41,7.08,125.43,9.85,151.56,52.99,252.27,7.62,15.1,5.75,88,44,1015.7,1008.6,100,6.6,100,22,100,0,0,0,9.36,4.2,15.86,5.45,72.73,32.24,15.84,2.88,TRUE
940,2012,12,26,0,0,7.69,74,1016.17,1.5,0,42.08,3.62,16.62,29.71,499.22,1712.36,19.69,244.21,28.02,245.75,59.69,258.61,43.8,8.91,5.77,79,68,1018.9,1011.9,100,0,23,0,100,0,100,0,30.66,11.25,38.41,19.08,72.42,45.05,56.16,34.56,TRUE
942,2012,12,28,0,0,7.17,79.75,1026.03,0,0,68.42,15.79,33.04,53,357.02,1775.55,18.92,235.69,24.44,241.87,42.71,276.85,32.99,9.26,4.92,89,66,1030.7,1015.1,100,0,100,0,100,0,100,0,34.65,0.36,45.41,2.97,87.63,22.17,67.32,1.08,FALSE
946,2013,1,1,0,0,4.02,84.67,1011.96,4.5,0,87.11,64.83,81.12,66.67,0,512.64,13.2,173.07,17.43,192.88,49.57,258.7,24.28,7.96,0.65,95,73,1014.3,1010.2,100,6.3,100,0,100,0,100,0,25.39,0.36,34.61,4.32,77.02,32.45,59.04,3.96,TRUE
948,2013,1,3,0,0,4.73,68.5,1035.19,0,0,65.49,11.38,3.83,65.38,34.77,1097.37,5.96,196.61,7.57,200.81,18.49,272.9,12.86,8.33,1.23,84,50,1037.7,1030.6,100,0,33,0,52,0,100,0,11.97,0.36,16.06,0.36,31.35,1.8,27.36,2.52,FALSE
950,2013,1,5,0,0,6.52,84.08,1034.32,0.2,0,67.83,1.29,0.08,67.83,53.62,1132.08,11.88,268.57,16.33,270.6,12.32,296.91,18.61,8.16,4.17,95,71,1035.2,1033,100,0,9,0,2,0,100,0,15.12,6.99,21.24,10.31,21.66,6.37,29.52,10.44,FALSE
952,2013,1,7,0,0,4.46,83.54,1029.48,0,0,55.55,9.83,4.46,50.08,294.09,1852.98,3.87,135.32,7.05,163.12,13.14,101.77,6.55,8.86,1.38,95,68,1030.9,1027.5,100,0.6,29,0,63,0,100,0,7.15,1.61,18.78,1.8,22.1,4.9,26.28,1.8,FALSE
954,2013,1,9,0,0,4.37,68.04,1023.41,0,0,55.07,70,51.83,0,157.58,1854.76,5.44,214.71,5.96,203.99,19.86,271.18,9.21,8.23,2.2,82,52,1027,1020.1,100,3.6,100,12,100,0,0,0,10.44,1.44,17.29,0.36,27.83,9.61,29.52,1.44,TRUE
